Name: CCTV1, URL: https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8$订阅源, Date: None, Delay: 67 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: https://piccpndali.v.myalicdn.com/audio/cctv1_2.m3u8$订阅源, Date: None, Delay: 245 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|, Date: None, Delay: 266 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV1, URL: http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009$订阅源, Date: None, Delay: 50 ms, Speed: 3.67 M/s, Resolution: 1280x720
Name: CCTV1, URL: http://play.kankanlive.com/live/1661761962676984.m3u8$订阅源, Date: None, Delay: 183 ms, Speed: 0.00 M/s, Resolution: 720x576
Name: CCTV1, URL: http://173.208.212.130:8181/720p/cctv1.m3u8$订阅源, Date: None, Delay: 525 ms, Speed: 1.15 M/s, Resolution: 1920x1080
Name: CCTV1, URL: https://liveplay-srs.voc.com.cn/hls/tv/134_180adf.m3u8$订阅源, Date: None, Delay: 219 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://192.151.150.154/live/cctv1hd.m3u8$订阅源, Date: None, Delay: 74 ms, Speed: 7.48 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://222.223.41.27:8888/hls/1/index.m3u8$订阅源, Date: None, Delay: 292 ms, Speed: 1.86 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2328&tk=a0c4f6cfaba3$订阅源, Date: None, Delay: 85 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV1, URL: http://120.40.39.246:352/newlive/live/hls/1/live.m3u8$订阅源, Date: None, Delay: 359 ms, Speed: 0.38 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://182.140.125.47:808/hls/1/index.m3u8$订阅源, Date: None, Delay: 224 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV1, URL: http://204.12.221.218:8181/3m1080p/cctv1.m3u8$订阅源, Date: None, Delay: 187 ms, Speed: 1.68 M/s, Resolution: 1920x1080
